Filename,Name,Extension,Date
c26202_mod_004.fits,c26202,_mod_004,23-Mar-2020
c26202_mod_005.fits,c26202,_mod_005,24-Oct-2022
c26202_mod_006.fits,c26202,_mod_006,16-Feb-2023
c26202_stisnic_001.fits,c26202,_stisnic_001,2015-01-06T17:00:20
c26202_stisnic_002.fits,c26202,_stisnic_002,2015-01-06T17:00:20
c26202_stisnic_003.fits,c26202,_stisnic_003,2010-02-10T23:23:10
c26202_stisnic_004.fits,c26202,_stisnic_004,2013-11-18T19:20:56
c26202_stisnic_005.fits,c26202,_stisnic_005,2015-01-06T17:00:20
c26202_stisnic_006.fits,c26202,_stisnic_006,2015-01-05T21:02:38
c26202_stisnic_007.fits,c26202,_stisnic_007,13-Feb-2017
c26202_stiswfcnic_001.fits,c26202,_stiswfcnic_001,17-Jan-2019
c26202_stiswfcnic_002.fits,c26202,_stiswfcnic_002,21-Mar-2020
c26202_stiswfcnic_003.fits,c26202,_stiswfcnic_003,2-Mar-2021
c26202_stiswfcnic_004.fits,c26202,_stiswfcnic_004,25-Oct-2022
c26202_stiswfcnic_005.fits,c26202,_stiswfcnic_005,16-Feb-2023
delumi_mod_001.fits,delumi,_mod_001,30-Aug-2019
delumi_mod_002.fits,delumi,_mod_002,23-Mar-2020
delumi_mod_003.fits,delumi,_mod_003,24-Oct-2022
delumi_mod_004.fits,delumi,_mod_004,16-Feb-2023
delumi_stis_001.fits,delumi,_stis_001,30-Aug-2019
delumi_stis_002.fits,delumi,_stis_002,21-Mar-2020
delumi_stis_003.fits,delumi,_stis_003,25-Oct-2022
delumi_stis_004.fits,delumi,_stis_004,16-Feb-2023
eta1dor_mod_001.fits,eta1dor,_mod_001,30-Aug-2019
eta1dor_mod_002.fits,eta1dor,_mod_002,23-Mar-2020
eta1dor_mod_003.fits,eta1dor,_mod_003,24-Oct-2022
eta1dor_mod_004.fits,eta1dor,_mod_004,16-Feb-2023
eta1dor_stis_001.fits,eta1dor,_stis_001,30-Aug-2019
eta1dor_stis_002.fits,eta1dor,_stis_002,21-Mar-2020
eta1dor_stis_003.fits,eta1dor,_stis_003,25-Oct-2022
eta1dor_stis_004.fits,eta1dor,_stis_004,16-Feb-2023
etauma_mod_001.fits,etauma,_mod_001,30-Aug-2019
etauma_mod_002.fits,etauma,_mod_002,23-Mar-2020
etauma_mod_003.fits,etauma,_mod_003,8-Apr-2022
etauma_mod_004.fits,etauma,_mod_004,24-Oct-2022
etauma_stis_001.fits,etauma,_stis_001,2013-11-18T19:20:56
etauma_stis_002.fits,etauma,_stis_002,2015-01-06T17:00:20
